,시군구,번지,본번,부번,아파트명,전용면적(㎡),계약년월,계약일,층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지,"k-단지분류(아파트,주상복합등등)",k-전화번호,k-팩스번호,단지소개기존clob,k-세대타입(분양형태),k-관리방식,k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-연면적,k-주거전용면적,k-관리비부과면적,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과,k-홈페이지,k-등록일자,k-수정일자,고용보험관리번호,경비비관리형태,세대전기계약방법,청소비관리형태,건축면적,주차대수,기타/의무/임대/임의=1/2/3/4,단지승인일,사용허가여부,관리비 업로드,단지신청일,target,주소,좌표X,좌표Y,station_area,is_test
0,서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성,79.97,201712,8,3,1987,언주로 3,, ,-,-,아파트,025776611,025776673,,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,모름,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,,직영,단일계약,직영,4858.0,262.0,임의,2022-11-17 13:00:29.0,Y,N,2022-11-17 10:19:06.0,124000,서울특별시 강남구 개포동언주로 3,127.055925867398,37.4767921771121,0.0,0
1,서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성,79.97,201712,22,4,1987,언주로 3,, ,-,-,아파트,025776611,025776673,,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,모름,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,,직영,단일계약,직영,4858.0,262.0,임의,2022-11-17 13:00:29.0,Y,N,2022-11-17 10:19:06.0,123500,서울특별시 강남구 개포동언주로 3,127.055925867398,37.4767921771121,0.0,0
2,서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성,54.98,201712,28,5,1987,언주로 3,, ,-,-,아파트,025776611,025776673,,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,모름,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,,직영,단일계약,직영,4858.0,262.0,임의,2022-11-17 13:00:29.0,Y,N,2022-11-17 10:19:06.0,91500,서울특별시 강남구 개포동언주로 3,127.055925867398,37.4767921771121,0.0,0
3,서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성,79.97,201801,3,4,1987,언주로 3,, ,-,-,아파트,025776611,025776673,,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,모름,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,,직영,단일계약,직영,4858.0,262.0,임의,2022-11-17 13:00:29.0,Y,N,2022-11-17 10:19:06.0,130000,서울특별시 강남구 개포동언주로 3,127.055925867398,37.4767921771121,0.0,0
4,서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성,79.97,201801,8,2,1987,언주로 3,, ,-,-,아파트,025776611,025776673,,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,모름,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,,직영,단일계약,직영,4858.0,262.0,임의,2022-11-17 13:00:29.0,Y,N,2022-11-17 10:19:06.0,117000,서울특별시 강남구 개포동언주로 3,127.055925867398,37.4767921771121,0.0,0
5,서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성,79.97,201801,11,1,1987,언주로 3,, ,-,-,아파트,025776611,025776673,,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,모름,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,,직영,단일계약,직영,4858.0,262.0,임의,2022-11-17 13:00:29.0,Y,N,2022-11-17 10:19:06.0,130000,서울특별시 강남구 개포동언주로 3,127.055925867398,37.4767921771121,0.0,0
6,서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성,79.97,201803,19,2,1987,언주로 3,, ,-,-,아파트,025776611,025776673,,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,모름,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,,직영,단일계약,직영,4858.0,262.0,임의,2022-11-17 13:00:29.0,Y,N,2022-11-17 10:19:06.0,139500,서울특별시 강남구 개포동언주로 3,127.055925867398,37.4767921771121,0.0,0
7,서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성,54.98,201804,5,5,1987,언주로 3,, ,-,-,아파트,025776611,025776673,,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,모름,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,,직영,단일계약,직영,4858.0,262.0,임의,2022-11-17 13:00:29.0,Y,N,2022-11-17 10:19:06.0,107500,서울특별시 강남구 개포동언주로 3,127.055925867398,37.4767921771121,0.0,0
8,서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성,79.97,201806,28,3,1987,언주로 3,, ,-,-,아파트,025776611,025776673,,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,모름,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,,직영,단일계약,직영,4858.0,262.0,임의,2022-11-17 13:00:29.0,Y,N,2022-11-17 10:19:06.0,145000,서울특별시 강남구 개포동언주로 3,127.055925867398,37.4767921771121,0.0,0
9,서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성,54.98,201807,9,3,1987,언주로 3,, ,-,-,아파트,025776611,025776673,,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,모름,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,,직영,단일계약,직영,4858.0,262.0,임의,2022-11-17 13:00:29.0,Y,N,2022-11-17 10:19:06.0,112000,서울특별시 강남구 개포동언주로 3,127.055925867398,37.4767921771121,0.0,0
10,서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성,79.97,201808,22,4,1987,언주로 3,, ,-,-,아파트,025776611,025776673,,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,모름,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,,직영,단일계약,직영,4858.0,262.0,임의,2022-11-17 13:00:29.0,Y,N,2022-11-17 10:19:06.0,160000,서울특별시 강남구 개포동언주로 3,127.055925867398,37.4767921771121,0.0,0
11,서울특별시 강남구 개포동,658-1,658.0,1.0,개포6차우성,79.97,201809,28,5,1987,언주로 3,, ,-,-,아파트,025776611,025776673,,분양,자치관리,계단식,개별난방,8.0,270.0,우성건설,모름,1987-11-21 00:00:00.0,22637.0,20204.0,22637.0,20.0,250.0,0.0,,,2022-11-09 20:10:43.0,2023-09-23 17:21:41.0,,직영,단일계약,직영,4858.0,262.0,임의,2022-11-17 13:00:29.0,Y,N,2022-11-17 10:19:06.0,160000,서울특별시 강남구 개포동언주로 3,127.055925867398,37.4767921771121,0.0,0
12,서울특별시 강남구 개포동,652,652.0,0.0,개포우성3차,133.46,201710,13,1,1984,개포로 307,, ,-,-,아파트,025749116,025749094,2888.0,분양,자치관리,혼합식,지역난방,5.0,405.0,우성건설,우성건설,1984-12-31 00:00:00.0,63304.0,53437.0,61064.0,0.0,0.0,285.0,,,,2023-09-23 17:15:43.0,21380015910,직영,단일계약,위탁,61064.24,419.0,의무,1984-12-22 00:00:00.0,Y,N,2013-03-07 09:46:28.0,152000,서울특별시 강남구 개포동개포로 307,127.056092038196,37.4846310565134,1.0,0
13,서울특별시 강남구 개포동,652,652.0,0.0,개포우성3차,161.0,201711,11,8,1984,개포로 307,, ,-,-,아파트,025749116,025749094,2888.0,분양,자치관리,혼합식,지역난방,5.0,405.0,우성건설,우성건설,1984-12-31 00:00:00.0,63304.0,53437.0,61064.0,0.0,0.0,285.0,,,,2023-09-23 17:15:43.0,21380015910,직영,단일계약,위탁,61064.24,419.0,의무,1984-12-22 00:00:00.0,Y,N,2013-03-07 09:46:28.0,182000,서울특별시 강남구 개포동개포로 307,127.056092038196,37.4846310565134,1.0,0
14,서울특별시 강남구 개포동,652,652.0,0.0,개포우성3차,161.0,201711,27,8,1984,개포로 307,, ,-,-,아파트,025749116,025749094,2888.0,분양,자치관리,혼합식,지역난방,5.0,405.0,우성건설,우성건설,1984-12-31 00:00:00.0,63304.0,53437.0,61064.0,0.0,0.0,285.0,,,,2023-09-23 17:15:43.0,21380015910,직영,단일계약,위탁,61064.24,419.0,의무,1984-12-22 00:00:00.0,Y,N,2013-03-07 09:46:28.0,170000,서울특별시 강남구 개포동개포로 307,127.056092038196,37.4846310565134,1.0,0
15,서울특별시 강남구 개포동,652,652.0,0.0,개포우성3차,161.0,201712,13,6,1984,개포로 307,, ,-,-,아파트,025749116,025749094,2888.0,분양,자치관리,혼합식,지역난방,5.0,405.0,우성건설,우성건설,1984-12-31 00:00:00.0,63304.0,53437.0,61064.0,0.0,0.0,285.0,,,,2023-09-23 17:15:43.0,21380015910,직영,단일계약,위탁,61064.24,419.0,의무,1984-12-22 00:00:00.0,Y,N,2013-03-07 09:46:28.0,185000,서울특별시 강남구 개포동개포로 307,127.056092038196,37.4846310565134,1.0,0
16,서울특별시 강남구 개포동,652,652.0,0.0,개포우성3차,133.46,201712,16,10,1984,개포로 307,, ,-,-,아파트,025749116,025749094,2888.0,분양,자치관리,혼합식,지역난방,5.0,405.0,우성건설,우성건설,1984-12-31 00:00:00.0,63304.0,53437.0,61064.0,0.0,0.0,285.0,,,,2023-09-23 17:15:43.0,21380015910,직영,단일계약,위탁,61064.24,419.0,의무,1984-12-22 00:00:00.0,Y,N,2013-03-07 09:46:28.0,175000,서울특별시 강남구 개포동개포로 307,127.056092038196,37.4846310565134,1.0,0
17,서울특별시 강남구 개포동,652,652.0,0.0,개포우성3차,161.0,201801,10,12,1984,개포로 307,, ,-,-,아파트,025749116,025749094,2888.0,분양,자치관리,혼합식,지역난방,5.0,405.0,우성건설,우성건설,1984-12-31 00:00:00.0,63304.0,53437.0,61064.0,0.0,0.0,285.0,,,,2023-09-23 17:15:43.0,21380015910,직영,단일계약,위탁,61064.24,419.0,의무,1984-12-22 00:00:00.0,Y,N,2013-03-07 09:46:28.0,210000,서울특별시 강남구 개포동개포로 307,127.056092038196,37.4846310565134,1.0,0
18,서울특별시 강남구 개포동,652,652.0,0.0,개포우성3차,161.0,201802,3,14,1984,개포로 307,, ,-,-,아파트,025749116,025749094,2888.0,분양,자치관리,혼합식,지역난방,5.0,405.0,우성건설,우성건설,1984-12-31 00:00:00.0,63304.0,53437.0,61064.0,0.0,0.0,285.0,,,,2023-09-23 17:15:43.0,21380015910,직영,단일계약,위탁,61064.24,419.0,의무,1984-12-22 00:00:00.0,Y,N,2013-03-07 09:46:28.0,225000,서울특별시 강남구 개포동개포로 307,127.056092038196,37.4846310565134,1.0,0
19,서울특별시 강남구 개포동,652,652.0,0.0,개포우성3차,104.43,201807,14,11,1984,개포로 307,, ,-,-,아파트,025749116,025749094,2888.0,분양,자치관리,혼합식,지역난방,5.0,405.0,우성건설,우성건설,1984-12-31 00:00:00.0,63304.0,53437.0,61064.0,0.0,0.0,285.0,,,,2023-09-23 17:15:43.0,21380015910,직영,단일계약,위탁,61064.24,419.0,의무,1984-12-22 00:00:00.0,Y,N,2013-03-07 09:46:28.0,160000,서울특별시 강남구 개포동개포로 307,127.056092038196,37.4846310565134,1.0,0
20,서울특별시 강남구 개포동,652,652.0,0.0,개포우성3차,133.46,201807,20,5,1984,개포로 307,, ,-,-,아파트,025749116,025749094,2888.0,분양,자치관리,혼합식,지역난방,5.0,405.0,우성건설,우성건설,1984-12-31 00:00:00.0,63304.0,53437.0,61064.0,0.0,0.0,285.0,,,,2023-09-23 17:15:43.0,21380015910,직영,단일계약,위탁,61064.24,419.0,의무,1984-12-22 00:00:00.0,Y,N,2013-03-07 09:46:28.0,160000,서울특별시 강남구 개포동개포로 307,127.056092038196,37.4846310565134,1.0,0
21,서울특별시 강남구 개포동,652,652.0,0.0,개포우성3차,161.0,201807,30,5,1984,개포로 307,, ,-,-,아파트,025749116,025749094,2888.0,분양,자치관리,혼합식,지역난방,5.0,405.0,우성건설,우성건설,1984-12-31 00:00:00.0,63304.0,53437.0,61064.0,0.0,0.0,285.0,,,,2023-09-23 17:15:43.0,21380015910,직영,단일계약,위탁,61064.24,419.0,의무,1984-12-22 00:00:00.0,Y,N,2013-03-07 09:46:28.0,234000,서울특별시 강남구 개포동개포로 307,127.056092038196,37.4846310565134,1.0,0
22,서울특별시 강남구 개포동,652,652.0,0.0,개포우성3차,104.43,201808,16,10,1984,개포로 307,, ,-,-,아파트,025749116,025749094,2888.0,분양,자치관리,혼합식,지역난방,5.0,405.0,우성건설,우성건설,1984-12-31 00:00:00.0,63304.0,53437.0,61064.0,0.0,0.0,285.0,,,,2023-09-23 17:15:43.0,21380015910,직영,단일계약,위탁,61064.24,419.0,의무,1984-12-22 00:00:00.0,Y,N,2013-03-07 09:46:28.0,170000,서울특별시 강남구 개포동개포로 307,127.056092038196,37.4846310565134,1.0,0
23,서울특별시 강남구 개포동,652,652.0,0.0,개포우성3차,104.43,201808,16,12,1984,개포로 307,, ,-,-,아파트,025749116,025749094,2888.0,분양,자치관리,혼합식,지역난방,5.0,405.0,우성건설,우성건설,1984-12-31 00:00:00.0,63304.0,53437.0,61064.0,0.0,0.0,285.0,,,,2023-09-23 17:15:43.0,21380015910,직영,단일계약,위탁,61064.24,419.0,의무,1984-12-22 00:00:00.0,Y,N,2013-03-07 09:46:28.0,165000,서울특별시 강남구 개포동개포로 307,127.056092038196,37.4846310565134,1.0,0
24,서울특별시 강남구 개포동,652,652.0,0.0,개포우성3차,161.0,201808,21,15,1984,개포로 307,, ,-,-,아파트,025749116,025749094,2888.0,분양,자치관리,혼합식,지역난방,5.0,405.0,우성건설,우성건설,1984-12-31 00:00:00.0,63304.0,53437.0,61064.0,0.0,0.0,285.0,,,,2023-09-23 17:15:43.0,21380015910,직영,단일계약,위탁,61064.24,419.0,의무,1984-12-22 00:00:00.0,Y,N,2013-03-07 09:46:28.0,240000,서울특별시 강남구 개포동개포로 307,127.056092038196,37.4846310565134,1.0,0
25,서울특별시 강남구 개포동,12-2,12.0,2.0,개포자이,153.8,201710,13,19,2004,개포로109길 69,, ,-,-,아파트,024454721,024454722,,분양,자치관리,계단식,지역난방,4.0,212.0,박연정,LG건설,2004-06-17 00:00:00.0,60359.0,32275.0,38614.0,0.0,0.0,84.0,,test,,2023-09-23 17:17:38.0,90800689891,위탁,종합계약,위탁,0.0,502.0,의무,2013-06-23 14:26:42.0,Y,N,2013-03-07 09:46:23.0,146000,서울특별시 강남구 개포동개포로109길 69,127.076127258586,37.4962923064311,1.0,0
26,서울특별시 강남구 개포동,12-2,12.0,2.0,개포자이,170.32,201710,25,2,2004,개포로109길 69,, ,-,-,아파트,024454721,024454722,,분양,자치관리,계단식,지역난방,4.0,212.0,박연정,LG건설,2004-06-17 00:00:00.0,60359.0,32275.0,38614.0,0.0,0.0,84.0,,test,,2023-09-23 17:17:38.0,90800689891,위탁,종합계약,위탁,0.0,502.0,의무,2013-06-23 14:26:42.0,Y,N,2013-03-07 09:46:23.0,144500,서울특별시 강남구 개포동개포로109길 69,127.076127258586,37.4962923064311,1.0,0
27,서울특별시 강남구 개포동,12-2,12.0,2.0,개포자이,134.3,201711,6,4,2004,개포로109길 69,, ,-,-,아파트,024454721,024454722,,분양,자치관리,계단식,지역난방,4.0,212.0,박연정,LG건설,2004-06-17 00:00:00.0,60359.0,32275.0,38614.0,0.0,0.0,84.0,,test,,2023-09-23 17:17:38.0,90800689891,위탁,종합계약,위탁,0.0,502.0,의무,2013-06-23 14:26:42.0,Y,N,2013-03-07 09:46:23.0,152000,서울특별시 강남구 개포동개포로109길 69,127.076127258586,37.4962923064311,1.0,0
28,서울특별시 강남구 개포동,12-2,12.0,2.0,개포자이,153.8,201711,7,1,2004,개포로109길 69,, ,-,-,아파트,024454721,024454722,,분양,자치관리,계단식,지역난방,4.0,212.0,박연정,LG건설,2004-06-17 00:00:00.0,60359.0,32275.0,38614.0,0.0,0.0,84.0,,test,,2023-09-23 17:17:38.0,90800689891,위탁,종합계약,위탁,0.0,502.0,의무,2013-06-23 14:26:42.0,Y,N,2013-03-07 09:46:23.0,142000,서울특별시 강남구 개포동개포로109길 69,127.076127258586,37.4962923064311,1.0,0
29,서울특별시 강남구 개포동,12-2,12.0,2.0,개포자이,170.32,201801,2,16,2004,개포로109길 69,, ,-,-,아파트,024454721,024454722,,분양,자치관리,계단식,지역난방,4.0,212.0,박연정,LG건설,2004-06-17 00:00:00.0,60359.0,32275.0,38614.0,0.0,0.0,84.0,,test,,2023-09-23 17:17:38.0,90800689891,위탁,종합계약,위탁,0.0,502.0,의무,2013-06-23 14:26:42.0,Y,N,2013-03-07 09:46:23.0,162000,서울특별시 강남구 개포동개포로109길 69,127.076127258586,37.4962923064311,1.0,0
30,서울특별시 강남구 개포동,12-2,12.0,2.0,개포자이,134.3,201801,19,3,2004,개포로109길 69,, ,-,-,아파트,024454721,024454722,,분양,자치관리,계단식,지역난방,4.0,212.0,박연정,LG건설,2004-06-17 00:00:00.0,60359.0,32275.0,38614.0,0.0,0.0,84.0,,test,,2023-09-23 17:17:38.0,90800689891,위탁,종합계약,위탁,0.0,502.0,의무,2013-06-23 14:26:42.0,Y,N,2013-03-07 09:46:23.0,153500,서울특별시 강남구 개포동개포로109길 69,127.076127258586,37.4962923064311,1.0,0
31,서울특별시 강남구 개포동,12-2,12.0,2.0,개포자이,170.32,201801,25,15,2004,개포로109길 69,, ,-,-,아파트,024454721,024454722,,분양,자치관리,계단식,지역난방,4.0,212.0,박연정,LG건설,2004-06-17 00:00:00.0,60359.0,32275.0,38614.0,0.0,0.0,84.0,,test,,2023-09-23 17:17:38.0,90800689891,위탁,종합계약,위탁,0.0,502.0,의무,2013-06-23 14:26:42.0,Y,N,2013-03-07 09:46:23.0,175000,서울특별시 강남구 개포동개포로109길 69,127.076127258586,37.4962923064311,1.0,0
32,서울특별시 강남구 개포동,12-2,12.0,2.0,개포자이,134.3,201803,19,18,2004,개포로109길 69,, ,-,-,아파트,024454721,024454722,,분양,자치관리,계단식,지역난방,4.0,212.0,박연정,LG건설,2004-06-17 00:00:00.0,60359.0,32275.0,38614.0,0.0,0.0,84.0,,test,,2023-09-23 17:17:38.0,90800689891,위탁,종합계약,위탁,0.0,502.0,의무,2013-06-23 14:26:42.0,Y,N,2013-03-07 09:46:23.0,158000,서울특별시 강남구 개포동개포로109길 69,127.076127258586,37.4962923064311,1.0,0
